userid,username,age,gender,location,city,state,title,about_me,reasons,inspirations,friends_count
2517,editorgrrl,47.0,Female,"New Haven, CT",New Haven,CT,,"To be Fitbit friends, go to https://www.fitbit.com/user/278TJW or to add me to your Jawbone UP team PM me your real name or e-mail address. (Yes, I have two activity trackers—I'm a data nerd.)  I have Hashimoto's (autoimmune thyroid disease). I'm 5'2"". I don't eat mammals. If there's anything else you want to know, just ask.",I got smaller. (I reached goal in July 2014.) Now I want to get stronger.,"HealthMonth.com is helping me build healthy habits through gamification.; My Fitbit and Jawbone UP activity trackers get me moving.; TrendWeight.com shows me my downward trend without all the ""noise.""; Logging is simple, but it ain't easy. Logging works.",374
9885,ZozoMonster,24.0,Female,"North Downs Ward, EN",North Downs Ward,EN,Fat to Fit!,"I'm Zoe, 23 years old, 5ft 7 SW: 177lbs CW: 134lbs GW: 126lbs  Current Body Fat: 22% Body Fat goal: 15%  Main exercises: Swimming, cycling, dog walking, yoga, HIIT, running  I have a herneated disc and a disc bulge in my lower back which rules out heavy lifting as instructed by my osteopath.  Journey started 7/10/12  *If you don't log in for a month you are deleted as a friend. Only active members are helpful!*  FB: Zoe Sudds Twitter: ZozoMonster91 IG: @Zozomonster Blog: http://zoesudds.tumblr.com/",to be happy and confident with myself,,359
5269,lexncheysmommy61904,31.0,Female,"Maryville, TN",Maryville,TN,Fell off the wagon many times but refusing to quit!!,"Im Devin. Im 31 and a SAHM to Alex (10)  and Cheyenne (8). Alex has moderate Autism  Ive been married to my husband Ben since June 2004 I was diagnosed with Fibromyalgia in March 2008, although I suspect I had it for a while before hand.  *~*~*~*more about me*~*~*~* I was always fat, Ive been at least 200lb since I was in high school.. I met my uber skinny husband (he weighed 115lb when we got together and I doubled his weight!!) in November 2002 when I was 18 and he was 23.. He didn't mind my weight.. We got married in june 2004 and I slowly gained and gained and gained between 2 pregancies, working at mcdonalds and getting free food every night, quitting smoking etc.   Height: 5'6 SW: 298 CW: 271.2 GW: 150  Goals: 290: 8/10/15 280: 9/23/15 270:  260 250 240 230 220 210 198 (100lb lost!!) 185 175 170 165 160 155 150 (GOAL!!)  ** Started on MFP in November 2010 weighing 298.. By July 2011, I had gotten down to 240 an then fell off the wagon..   Losing the first 50+lb proved to me I could do it again so gaining it back means I know how to lose it again, I just need the motivation",*myself *My husband *my kids *to show everyone in my life who thinks I can't do it that I CAN DO IT!!,my kids and husband; All my MFP pals who have lost a ton of weight!,354
9476,VanillaBeanSeed,29.0,Female,"Yarmouth, NS",Yarmouth,NS,Renee Vs Food,"MYFITNESSPAL BLOG = http://www.myfitnesspal.com/blog/VanillaBeanSeed  Im a 26 year old girl from Nova Scotia Canada!   Looking to lose 100+ pounds. In January 2012 I just started working at our local YMCA so I have a free membership to our gym! Starting to work out, and watching my calories and portions.   Looking to meet some friends and encourage each other along our journeys!  Up-date 2013:  March 2013 will be one year that i started my fitness/weight loss journey! Through exercise, portion control, and calorie counting I am down 120 lbs! I've still got some to lose, and some toning up to do!  Start weight - 267 Current Weight - 146  First Goal -199 Second Goal -160 3rd Goal - 150 Ultimate Goal - 139",To feel good about myself To be able to fit into more clothes To be more comfortable To be able to wear dresses and shorts!,"Living a long, healthy life; Feeling confident; Feeling the best about me",348
2759,EvgeniZyntx,49.0,Male,,,,"Go outside, do awesome stuff!","__  MFP Data Export Tool (for Excel):   http://www.myfitnesspal.com/blog/EvgeniZyntx/view/mfp-data-export-tool-the-overview-659927  __ I'm both an active cyclist, runner, hiker and outdoors person and a sedentary office monkey. Work and life have me traveling quite a lot each week and I pack those gym clothes that I used to mostly carry everywhere but now use.    I joined to get back on top of things, A few years back I gained about 15 kgs and want to have a more focused weekday schedule on eating well and staying active. I like being able to do some epic travel.   I have a science, research and engineering background and worked in the healthcare sector for over 20 years, so I have a a lot of skepticism for all the woo thrown about but also believe that whatever path you choose may work if it drives your adhesion and commitment.   Somewhere in Germany or France.  Bit crazy about road cycling and mountain biking - I own:  - steel Colnago Master (my ref. road bike) - 1975 Colner road bike - Lapierre MTB tandem - all my daughters have been drafted as stokers - A Dean Titanium SS MTB - A Santa Cruz Blur MTB - A Spe. Epic (run of the mill but excellent all arounder) - An early 650 Klein Tri-bike - various frames ...   I've ridden RAGBRAI twice and lead group rides on Sundays when I can.  Feel free to add me, I'm present and will *try* to be supportive, although be warned about my *odd* sense of humor. I rarely comment on diaries ... __ Current goals: - prepping for third Tough Mudder - running: half marathon, various 10k and 5k events in 2015 - cycling: just long multi day travel stuff - lifting: back on an AllPro variant program, adherence and strength goals  Doing things with my daughters __ Useful links  Elbow work http://www.nicros.com/training/articles/treating-climbers-elbow/  Exercise and Muscle Directory http://exrx.net/Lists/Directory.html  http://strengthcoachtaylor.ca/uncategorized/the-brutally-honest-6-reasons-you-are-still-overfat/ http://www.bodyrecomposition.com/ http://www.bretcontreras.com  - 'the glute guy'  http://www.tonygentilcore.com/ - lots of subjects http://www.ericcressey.com/blog - high performance handbook author http://www.t-nation.com/ - general blog, lots of different writers - some good ideas, huge amount of misogyny to get to them http://impruvism.com  The round table is a must read: http://www.alanaragon.com/bodybuilding-nutrition-roundtable-alan-aragon-will-brink-jamie-hale-layne-norton.html  http://examine.com/ independent organization that presents un-biased research on supplements and nutrition  Cyclist weight training http://spokepost.com/news/?articleID=12&catViewAll=4  http://ashwinearl.blogspot.fr/2005_10_01_archive.html   Calories on running or walking? http://www.runnersworld.com/weight-loss/how-many-calories-are-you-really-burning?page=single  Mystery of muscle: http://www.unm.edu/~lkravitz/Article%20folder/hypertrophy.html   On here http://www.myfitnesspal.com/topics/show/833026-important-posts-to-read   http://www.myfitnesspal.com/topics/show/1080242-a-guide-to-get-you-started-on-your-path-to-sexypants   http://www.myfitnesspal.com/topics/show/819925-the-basics-don-t-complicate-it   http://www.myfitnesspal.com/topics/show/819055-setting-your-calorie-and-macro-targets   http://www.myfitnesspal.com/topics/show/872212-you-re-probably-eating-more-than-you-think   http://www.myfitnesspal.com/topics/show/817188-iifym   http://www.bodyrecomposition.com/fat-loss/why-big-caloric-deficits-and-lots-of-activity-can-hurt-fat-loss.html   http://community.myfitnesspal.com/en/discussion/1077746/starvation-mode-adaptive-thermogenesis-and-weight-loss   http://www.myfitnesspal.com/groups/home/10118-eat-train-progress   http://www.myfitnesspal.com/topics/show/1069278-acronyms-and-terms-for-new-mfp-members-v-6   http://www.myfitnesspal.com/topics/show/926789-protein-sources","Because I love doing things and I want to cycle, run, trek, climb and live in health. Feeling better, being healthier goes hand-in-hand with looking fit and healthy.",My daughters; Do all the adventures; The people here,338
6058,Mexicanbigfoot,36.0,Female,"Land Of Confusion, IN",Land Of Confusion,IN,"I'm good enough. I'm smart enough. And doggone it, people like me.","I have tried to lose weight countless times before on every diet from Slim Fast to South Beach.  I never stick with anything.  I got a new smart phone and happened across MyFitnessPal searching for weight loss apps. January 2013 - I've been a member for awhile but just branched out into the community this month to try and meet new friends for motivation. I am overwhelmed with the support I've found and look forward to this journey with all my new friends. June 2014 - back again. Got lazy, overconfident.",To kick ass. And look hot doing it.,Living a long life and feeling genuinely good about myself; Getting into a closet full of clothes that I have never worn!! (most have tags); Finally riding ALL the roller coasters at Cedar Point - twice!!; To actually weight what the DMV thinks I do!!,330
3592,intrigame23,24.0,Female,"Springfield, MA",Springfield,MA,Making it happen this time...,"I've always been the big girl-- often  the biggest person in the room. I can't say how many times I've tried to lose weight, only to be successful for a month or two, and return to old habits. Any weight lost was regained, plus some. I wasn't ready, or mature enough, to do it for the right reason (myself). I'm making it happen this time!","I focus so much on taking care of others that I forget about myself. My theme this year is all about self-care. My health comes first now. I want to be a role model for family members, friends, and coworkers.  I was raised being told that because I come from a family of ""big people"" that I would always to be big, too, no matter what.  It was acceptable to overeat and be inactive. It doesn't have to be that way!   My father was just diagnosed with diabetes and I'm doing my best to prove that he does NOT have to live with it for the rest of this life. The choices made daily determine what happens. Many family members have diabetes and other diseases-- my name need not be added to the list!   I've got big dreams. I cannot make them come true with body and mind in poor health.","Bought size 20 pants-- and they were snug!; I hit 260 lbs and cried.; Living a long, healthy life.; My future children.",326
4462,kassiebby1124,21.0,Female,"Durham, NC",Durham,NC,It's Kassie Baby ,"I'm Kassie. I'm 5'4, African American, and awesome. I've been battling my weight since I was a child. I've been on many ""weight loss"" attempts. I've never dieted, but I have tried to work out with no result. That was a result of my eating habits. It wasn't until this 2012 that I realized that my food intake played as big a part in weight loss as exercise was. That's why I made this account. To monitor what I eat and exercise.","I want to get in shape to inspire those around me, improve my health, and to look better. My DREAM is to wear a bikini next year. I also want to get a tattoo. I am also a nutrition major at ECU so it helps to look the part.",My family/friends/supporters/HATERS; My tattoos; I wanna be sexy when I'm older c;; I want to major in a health professions so it makes sense to look the part.,320
3361,heybales,47.0,Male,"Shawnee Mission, KS",Shawnee Mission,KS,"Sam - Whatcha up to, Norm? Norm - My ideal weight if I were eleven feet tall. - Cheers","Gotta stick to doing it smart and right, no more injuries from over-training.  *** Please comment as to why a friend request ***  Weight Loss Calculator spreadsheet (updated 1/5/14) for BMR/TDEE deficit methods, HRM info, macro setup, MFP tweaking, all to maximize deficit and benefit of exercise done and retain muscle mass: https://docs.google.com/spreadsheet/ccc?key=0Amt7QBR9-c6MdGVTbGswLUUzUHNVVUlNSW9wZWloeUE  Description of spreadsheet: http://www.myfitnesspal.com/topics/show/813720-spreadsheet-bmr-tdee-deficit-macro-calcs-hrm-zones  Just TDEE please, better than 5 level TDEE charts. https://docs.google.com/spreadsheets/d/1G7FgNzPq3v5WMjDtH0n93LXSMRY_hjmzNTMJb3aZSxM/edit?usp=sharing  Spreadsheet for getting cardio personal calorie burn formula: https://docs.google.com/spreadsheet/ccc?key=0Amt7QBR9-c6MdC10WXNweGI0ZGRNZHE4Wmc3UURaWVE&usp=sharing  Weight training to do during fat loss - http://www.bodyrecomposition.com/training/weight-training-for-fat-loss-part-1.html -------------------------------------------------------------------- Was doing endurance events, triathlons mostly until married. Summer of wedding did race at pace without enough training = injury. So less working out + more married food = weight gain. Several attempts to get back into exercise too hard led to injuries & sickness, sidetracked. Had great 4 months, lost 42lbs, being smart with workouts and sticking to Zone diet. Then sickness and injuries and new baby. 20 lbs back.  Fun in accomplishing these races/event rides through the years since high school cross-country team: 20 plus - 10K races 2 - 15K races 4 - Half-Marathons 4 - Marathons 13 - 80 mile bike events 5 - 100 mile bike events 9 - Triathlons International or Long or Olympic course 5 - Triathlons Half-Ironman  --------------------------------------------------------------------  Current BMR - 1820. Current TDEE - 2160 non-exercise. 3k-4k on training days. Current GROSS goal - 10-30% of workout TDEE as shown by Fitbit with exercise corrections, TDEE on rest days.  Was almost completely down the road of being a certified personal trainer, and work road went to nice sedentary job with computers instead. Hmmmm, what might have been..... Still love digging into the research and seeing how things actually work for people in real life, usually keeping my interest in nutrition and fitness current through the years. Hmmmm, wonder if the home inspector route would have been better .....","Keeping up with little guy when he's older, and I'm even older. Control migraines (with exercise, few to none, even with triggers). Inspire others to do more.","The next race/ride; Serious backpacking trip; Feels good to push myself hard, though that is also the problem sometimes.",319
7991,ScarletFyre,39.0,Female,"Honey Brook, PA",Honey Brook,PA,Suck it up and someday you won't have to suck it in,"I have tried to lose weight - in various different ways:  Weight Watcheres, Herbalife, etc.  The two listed had great results, I really have to watch what expenses I have.  I do belong to a very resonably priced gym, which will help.  For years I have had good intentions then let my busy life get in the way of eating right and working out...this year I am determined not to let this happen.","I want to get into shape for various reasons:    1-i want to ENJOY clothes and swimsuit shopping; I don't enjoy going out to photograph my brother's band and feeling self-consious about my weight knowing that I am up there almost on the stage beside the band; I want to have to get rid of all my clothes and have to by smaller ones! 2-my parents are both type two diabetics, which means that I am already at greater risk of developing diabetes later in life; i want to be as healthy as possible NOW to try and start minimizing issues as i get older. 3-I was engaged a couple years ago, and although that ended, i learned that i need to take control of my weight and fitness NOW.  I have a wonderful little sister (sorority) who is willing to MAKE my wedding dress for me (once that day actually comes for real).  I want that to be a time of great bonding between two great friends, and i want to cherish the dress forever (which i will anyway) but i dont want to ruin any of that by being upset because i am unahppy with my weight.  so NOW is the time to get into shape so that once that day comes in the future someday, i will already be happy with my body!!",Summer clothes!; My Brother and his buddy who have done a tremendous job getting in shape!; Old pictures i found of me from college when i was thin!!!; I want to ENJOY getting my wedding dress made,318
5235,lemurcat12,45.0,Female,"Chicago, IL",Chicago,IL,Back on track!,"[I want to keep my friends list to a level that allows me to interact with people and keep up with everyone, so if you want to add me please let me know why/what we have in common.  I am not going to accept a blank request.]  Hi, I'm Stephanie.  This is my second time losing a significant amount of weight and I intend to make it the last time I have to do this.  Back in my early 30s I went from probably the 190s (I didn't weigh myself until I was down some from my high) to 120 and maintained at about 125 for several years, in large part due to lots of cardio, especially triathlon training.  But for various life reasons I stopped that and gradually slipped back into old habits and was shocked when I finally forced myself to realize that in a relatively short period of time I'd not only regained all the weight but about 30-40 more pounds.","Now that I've lost most of the weight, I'm really focused on getting back to some of my old cardio loves, as well as adding in weight training (which I hope to learn more about).    Goals: Ravenswood 5K (4/2014) - finish - done Chicago Spring 10K (5/2014) - finish - done Batavia Half (8/24/14) - finish - done Naperville Half (11/9/14) - under 2:15 - YES! Metric Century and Century rides (2/2015) - done Get Lucky Half (3/15/15) - finish Wisconsin Half (5/2/15) - under 2:05 - YES Iron Abe International Tri - finish - done (3:36) Lakefront Blvd Tour (63 miles, 8/23/15) - done Batavia Half (8/30/15) - finish - done Great Illini Half Ironman (9/5/15) - finish -- YES! Hot Chocolate 15K (11/8/15) - finish YukonDoIt (13.1) (12/27/15) - under 2 hours Chicago Winter Half (1/23/15) New Orleans Marathon (2/28/15)","My family and friends.; I did it before and know I can again.; I love living an active life, and need to be in shape to do it.; When I reach goal, I am going on a biking vacation. (Did this.)",317
3134,graysmom2005,36.0,Female,"Darnestown, MD",Darnestown,MD,"Stay at home mom to group exercise instructor, to Group Fitness Manager It's a lifestyle now, ya'll!","If you want to friend me, please tell me a little bit about yourself! :-) I will not add you unless I get a little message. Only because there are so many of you awesome folks! :-)  I have struggled with weight my whole life. Always the ""heavy"" one in the family. I gained lots of weight with both of my pregnancies. After my second I was hovering at 186 pounds. I started watching my calories and took my first spin class. Since then I lost 35 pounds, became a certified Spinning Instructor, and now teach Body Pump, Body Combat, Sh'bam, Bodyflow, and CXWORX as well. I have run many races including two half marathons.  I now run the group fitness department with Equinox. So proud to be part of what I think is the best fitness club in the world. Trying to find balance with keeping up my goals and a new full time job.",To set a good example for my kids. To break the weight cycle. To live a happy and healthy life!  http://i815.photobucket.com/albums/zz77/wannabevirtuous/mfptickergreyscale.png,Enjoying shopping!; Showing my kids a healthy lifestyle; Having time for myself through exercise; Buying overly priced designer jeans! :-D,315
8508,SpecialSundae,31.0,Female,"Dunfermline North Ward, SC",Dunfermline North Ward,SC,Time to get back in shape,"**Please include a little note with any friend requests and be aware that I have a mouth on me and disagree with very low calorie diets, so I won't be a very supportive friend if you're trying to live on 1200 calories a day (gross) or less.**  I've decided to get my act together and get fit. Ideally I'm trying to get down to around 20% body fat and have another 5-8% to go, but I'm pretty happy as I am. I eat to fuel my body and to keep me sane and lift weights because it's FUN! I love running but it doesn't love me.  I've basically now started to get my body to where I want it to be and just want to get stronger. I'm going to be dabbling in bulking for the next few months to try to bump up my numbers for a powerlifting competition in June.  Wish me luck!  *************************************************  Competition lifts:  Squat: 125kg (275lb) - 19 April 2015 Bench: 70kg  (154lb)  -  19 April 2015 Deadlift: 125kg (275lb)  - 29 November 2014  Other lifts: OHP: 47.5kg (99lb) - May 2015  ****************************************************** Original starting weight: 82.1kg Restart weight in 2013: 77.2kg Current weight: 61.6kg",Because I've picked up the lifting bug and don't want to let it go!,To break more Scottish powerlifting records in my weight class; Wanting not to slip into the coupled up weight gain.; A desire to compete in an international powerlifting championships; Food is tasty!,306
7647,revgosik,33.0,Female,"Canton, MO",Canton,MO,Continuing the Journey!  Facebook page: www.facebook.com/thejourneytakingthefirststep ,"I have been on a journey to loose weight since October 0f 2009.  I weighed 310 then.  I have a wonderful husband, 3 beautiful children, and I am a minister serving a wonderful church.",I want to be healthy and be a good role model for my children.  I want to set a good example in regards to food and exercie.,My children; Seeing my mother die at the age of 54; Wish to be healthy and happy for a long time,301
8257,silverbelle69,46.0,Female,"Midlothian, VA",Midlothian,VA,My WLS Journey,"I am a CPA.  I am the Finance Director for Sitter and Barfoot Veterans Care Center, which is owned by the Virginia Department of Veterans Services in Richmond, VA.  I had RNY Gastric Bypass surgery on 6/5/12.",I wanted all of my comorbidities to disappear.  And they did!  Now I want to add in cardio and weights again to firm up loose skin as much as possible.,My parents and husband.  Without them I could have never gotten through the WLS,298
